wavelength_nm,usgs_aspen_green_reflectance,usgs_dry_grass_reflectance,usgs_sand_reflectance,usgs_seawater_reflectance,chemla_bchl_a_yf10_absorbance,chemla_smurfp_biliverdin_ecoli_absorbance,chemla_smurfp_biliverdin_pputida_absorbance
499.0,0.0607003035,0.126820323,0.182572943,0.0351851614,0.0514419618,0.0145580844,-0.000267048523
500.0,0.060940925,0.12752856,0.18315564,0.034786215,0.053236305,0.017038858,0.00217415154
501.0,0.061304571,0.128236297,0.183710116,0.0343820449,0.0552662601,0.0194403717,0.00469068495
502.0,0.0618060662,0.128944771,0.18429383,0.0339687066,0.0576757778,0.0217142003,0.00732857783
503.0,0.0623793525,0.129653146,0.184948057,0.0335514393,0.0596070652,0.02318321,0.00991043975
504.0,0.0629379544,0.130359593,0.185571744,0.0331581358,0.0614029757,0.0244793999,0.0124783642
505.0,0.06342835,0.13106331,0.1861666,0.032775103,0.0633447725,0.0264097031,0.015076971
506.0,0.0639280204,0.131766054,0.186776814,0.0324161905,0.0650287968,0.0281206889,0.0172237563
507.0,0.0645473864,0.132470499,0.187480549,0.0320676147,0.0664498413,0.0296079265,0.0189095924
508.0,0.0653660056,0.133178236,0.188108397,0.0317305787,0.0679275627,0.0306338269,0.020533961
509.0,0.06634029,0.13388696,0.18874443,0.0313984887,0.0692881037,0.0315515137,0.0224449019
510.0,0.0673958019,0.134593317,0.189472356,0.0310921251,0.0702406624,0.0323519689,0.0253146158
511.0,0.0684828913,0.135295254,0.190104262,0.0307967867,0.0715935821,0.0331194136,0.0278698286
512.0,0.0696499337,0.135994006,0.190727218,0.0305342598,0.0732068026,0.033865396,0.0302205637
513.0,0.0709700828,0.136691693,0.191382873,0.030285793,0.0743462155,0.0358624657,0.0317405631
514.0,0.072497576,0.13739027,0.19206131,0.030062827,0.0756790007,0.0370165714,0.0332282908
515.0,0.0742117726,0.138089307,0.192725967,0.0298507899,0.0773966731,0.0365289253,0.0346920909
516.0,0.0760733934,0.138788181,0.19338222,0.0296585192,0.0787433705,0.0372239243,0.0370618118
517.0,0.0780527714,0.139486416,0.194046487,0.0294747189,0.0798883585,0.0383558799,0.0396923635
518.0,0.0801589799,0.140184123,0.194727233,0.0293219476,0.0804529192,0.039202458,0.041338614
519.0,0.082410799,0.140881577,0.195389797,0.029182475,0.0812170675,0.0401650669,0.0426571615
520.0,0.0848116928,0.141578954,0.196044654,0.0290598462,0.0822164597,0.0412644352,0.0435894622
521.0,0.0873037942,0.142275849,0.196730429,0.0289444356,0.0835071618,0.0428585028,0.0458422597
522.0,0.0898144889,0.142971883,0.197427293,0.0288314798,0.0848529384,0.0446313662,0.0482160496
523.0,0.092288107,0.14366673,0.19814479,0.028719576,0.0861803492,0.046714117,0.0499919565
524.0,0.0947382396,0.144360517,0.198884167,0.0286125543,0.0872245239,0.0490987507,0.0529051632
525.0,0.0971962486,0.145053654,0.199623554,0.0285076247,0.0880558995,0.0517101932,0.0566728385
526.0,0.0996738624,0.145746426,0.200339036,0.0284044495,0.0893530252,0.0553597877,0.0601632777
527.0,0.102105696,0.146439133,0.201044673,0.028302026,0.0906460898,0.0590532129,0.0642987375
528.0,0.10440609,0.14713165,0.20177186,0.0281987713,0.0918658046,0.0626997555,0.0698948809
529.0,0.106508878,0.147824094,0.202522295,0.0280951602,0.0931923568,0.0663862051,0.0749891765
530.0,0.108423013,0.148516091,0.203270492,0.0279938421,0.094595081,0.0701421415,0.0798726581
531.0,0.110176255,0.149207206,0.204008605,0.0278935066,0.0964687353,0.0748071827,0.0851704139
532.0,0.111793764,0.149897273,0.204761382,0.0277880689,0.0981378582,0.079289995,0.0903101207
533.0,0.113288944,0.150586527,0.205515588,0.027680445,0.0995279866,0.0835242349,0.095234238
534.0,0.114672126,0.151275234,0.206268445,0.027567401,0.100979969,0.0881204204,0.101287387
535.0,0.115951372,0.151963899,0.207027357,0.0274520344,0.102294598,0.0925996609,0.107466912
536.0,0.117124788,0.152653453,0.207817962,0.0273423078,0.102827253,0.0960040789,0.112797459
537.0,0.11818773,0.15334475,0.20857741,0.0272349979,0.103792418,0.100601239,0.118014856
538.0,0.119132918,0.154038797,0.209311548,0.0271345764,0.105133502,0.106235083,0.123133907
539.0,0.11994287,0.154737221,0.210091002,0.0270371069,0.106065922,0.110635316,0.128256424
540.0,0.120597407,0.155441746,0.210826825,0.0269390634,0.106861702,0.115380275,0.133156817
541.0,0.121095135,0.156155223,0.211544353,0.0268407739,0.107411583,0.121369209,0.137473582
542.0,0.12150964,0.15688497,0.2122777,0.0267294414,0.107713593,0.126609682,0.142346929
543.0,0.12193328,0.157639546,0.213013004,0.0266125192,0.107882718,0.131459996,0.147489167
