wavelength_nm,absorbance
764.59100000000001,0.12181055975822896
766.22000000000003,0.12237683012332856
767.85000000000002,0.12227477100607254
769.47900000000004,0.12369686033978655
771.10900000000004,0.12680240398175791
772.73800000000006,0.13007893985875818
774.36699999999996,0.13459262127079263
775.99699999999996,0.14007083566514489
777.62599999999998,0.14605725876105047
779.25599999999997,0.15259614308835434
780.88499999999999,0.16117779175177294
782.51499999999999,0.17145525906559256
784.14400000000001,0.181412961364814
785.774,0.19355104879444562
787.40300000000002,0.20659823218479334
789.03300000000002,0.21997297098035884
790.66200000000003,0.23581821807384151
792.29200000000003,0.25100620830103304
793.92100000000005,0.26669083354619438
795.55100000000004,0.28290094020105394
797.17999999999995,0.29802634038966336
798.80899999999997,0.31172956982493272
800.43899999999996,0.32426568324978877
802.06799999999998,0.33187043136283512
803.69799999999998,0.33729050040980191
805.327,0.33728522823527829
806.95699999999999,0.33139990371369821
808.58600000000001,0.3187562623042115
810.21600000000001,0.30236275240802524
811.84500000000003,0.28374930633310702
813.47500000000002,0.26520387128054379
815.10400000000004,0.24742535756896689
816.73400000000004,0.23548859721595516
818.36300000000006,0.22557547806133593
819.99300000000005,0.21973151759725162
821.62199999999996,0.21676861494090349
823.25199999999995,0.21768967414689766
824.88099999999997,0.22141281971740068
826.50999999999999,0.22673275520649971
828.13999999999999,0.23429623479817807
829.76900000000001,0.24324903270187781
831.399,0.25401843361411236
833.02800000000002,0.26725562288333349
834.65800000000002,0.28056747710902774
836.28700000000003,0.29533611126537607
837.91700000000003,0.31255747591318872
839.54600000000005,0.33134375054085707
841.17600000000004,0.35129927451084419
842.80499999999995,0.37128696980336429
844.43499999999995,0.39254857239633068
846.06399999999996,0.41357812602068689
847.69399999999996,0.43692520527014156
849.32299999999998,0.45849347386782402
850.952,0.4798313228704808
852.58199999999999,0.50002525892431038
854.21100000000001,0.51792554056102302
855.84100000000001,0.53289399452344344
857.47000000000003,0.54567868222406224
859.10000000000002,0.55429766469564656
860.72900000000004,0.5630196593509933
862.35900000000004,0.56796207164071832
863.98800000000006,0.57122672826471033
865.61800000000005,0.57297629385460769
867.24699999999996,0.57274407476705214
868.87699999999995,0.57152324192833148
870.50599999999997,0.56699462399351463
872.13599999999997,0.56151379302739035
873.76499999999999,0.55560833543300681
875.39400000000001,0.54796630638528787
877.024,0.54421562261228251
878.65300000000002,0.53928670297928971
880.28300000000002,0.53701486345264726
881.91200000000003,0.53154469403354476
883.54200000000003,0.52505851577614282
885.17100000000005,0.51720640352436464
886.80100000000004,0.50638941082183364
888.42999999999995,0.49000469553605924
890.05999999999995,0.47154703947422449
891.68899999999996,0.44989689065426297
893.31899999999996,0.42676764420363378
894.94799999999998,0.40061620679853704
896.57799999999997,0.37245777728739782
898.20699999999999,0.34416709406408408
899.83699999999999,0.31420596180133364
901.46600000000001,0.28559904402670744
903.09500000000003,0.25663087198718193
904.72500000000002,0.22824216566119637
906.35400000000004,0.20175548780295249
907.98400000000004,0.17672980841804897
909.61300000000006,0.15425624431421003
911.24300000000005,0.13457422764181048
912.87199999999996,0.11415509164928084
914.50199999999995,0.095119153041202442
916.13099999999997,0.081084041542233254
917.76099999999997,0.067199186039881176
919.38999999999999,0.055962960184025468
921.01999999999998,0.046775341180508856
922.649,0.036818470618923516
924.279,0.030560316811741095
925.90800000000002,0.022583148170992495
927.53700000000003,0.019278350144077749
929.16700000000003,0.014893055915085718
930.79600000000005,0.012982876357102935
932.42600000000004,0.0098363179333296191
934.05499999999995,0.0081122086157255913
935.68499999999995,0.0040107706910308405
937.31399999999996,0.0035734264034934515
938.94399999999996,-0.00079835207595713165
940.57299999999998,-0.0016865483325851915
942.20299999999997,-0.0013389043733108563
943.83199999999999,-0.0037168080176379625
945.46199999999999,-0.001936470083556574
947.09100000000001,-0.0031868417130241911
948.721,-0.0035990432427752683
950.35000000000002,-0.0024476136232547407
951.97900000000004,0.0001303335757025792
953.60900000000004,-0.00098442311005575434
955.23800000000006,-0.00055014573495515418
956.86800000000005,-4.6889812699291156e-06
958.49699999999996,0.0016375455676856943
960.12699999999995,-9.2552617281693728e-05
961.75599999999997,0.00082986866426526529
963.38599999999997,0.0040660225126654126
965.01499999999999,0.0046424446602845171
966.64499999999998,0.0037484396184518376
968.274,0.0032619767952037915
969.904,0.0012265494560367296
971.53300000000002,0.0012219857621773578
973.16300000000001,0.0015760758484071324
974.79200000000003,0.00028959483936985553
976.42200000000003,-0.0031009295021916516
978.05100000000004,-0.00095418346403730592
979.67999999999995,5.7817082829259014e-05
981.30999999999995,-0.0020345487410090568
982.93899999999996,-0.0018890865220730912
984.56899999999996,-0.0025409161083743692
986.19799999999998,-0.0023929701658680358
987.82799999999997,-0.0046389802449289252
989.45699999999999,-0.0042983420118811733
991.08699999999999,-0.0045832996985503138
992.71600000000001,-0.0059726798508934476
994.346,-0.0050713380292698451
995.97500000000002,-0.0065309260021284565
997.60500000000002,-0.0083826714203627528
999.23400000000004,-0.0098956019765118475
1000.86,-0.0067767779830811836
1002.49,-0.010155903829613067
